"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-301","Applied Work Practices and Procedures",NA
"2","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-306","Steering Suspension and Brakes",NA
"3","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-307","Electrical Electronics and Fuels",NA
"4","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-302","Motor Vehicle Engine Systems",NA
"5","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-306","Steering Suspension and Brakes",NA
"6","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-307","Electrical Electronics and Fuels",NA
"7","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-301","Applied Work Practices and Procedures",NA
"8","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-305","Motor Vehicle Gear Trains",NA
"9","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-306","Steering Suspension and Brakes",NA
"10","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-301","Applied Work Practices and Procedures",NA
"11","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-302","Motor Vehicle Engine Systems",NA
"12","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-306","Steering Suspension and Brakes",NA
"13","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-307","Electrical Electronics and Fuels",NA
"14","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-301","Applied Work Practices and Procedures",NA
"15","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-305","Motor Vehicle Gear Trains",NA
"16","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-307","Electrical Electronics and Fuels",NA
"17","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-305","Motor Vehicle Gear Trains",NA
"18","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-307","Electrical Electronics and Fuels",NA
"19","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-301","Applied Work Practices and Procedures",NA
"20","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-305","Motor Vehicle Gear Trains",NA
"21","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-307","Electrical Electronics and Fuels",NA
"22","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-301","Applied Work Practices and Procedures",NA
"23","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-302","Motor Vehicle Engine Systems",NA
"24","Centennial College of Applied Arts and Technology","Automotive Service Technician Honda AHAP (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/auto-service-technician-honda-map-32/","APHA-307","Electrical Electronics and Fuels",NA
