"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","OB-014","Pre-Apprenticeship English/Workplace Communications",NA
"2","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","OB-024","Pre-Apprenticeship Math",NA
"3","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","OB-044","Pre-Apprenticeship Computer Skills",NA
"4","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","PRPE-114","Parts Components",NA
"5","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","PRST-101","Work Place Practices and Procedures",NA
"6","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","PRST-102","Engine Systems",NA
"7","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","PRST-105","Drive Train Systems",NA
"8","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","PRST-106","Suspension/Steering and Brakes",NA
"9","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","PRST-107","Electrical/Electronics and Emissions",NA
"10","Centennial College of Applied Arts and Technology","Automotive Service Technician Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-pre-apprenticeship/","PRST-110","Paid Work Placement",NA
