"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","1A","1A",NA
"2","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-101","Theory of Flight",NA
"3","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-102","Aircraft Publications",NA
"4","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-104","Metallurgy & Processes",NA
"5","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-107","Intro to CARs, Human Factors & SMS",NA
"6","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-108","Orientation & Pathways to Success, Pt 1",NA
"7","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-110","Applied Mathematics",NA
"8","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","1B","1B",NA
"9","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-103","AME Standard Practices",NA
"10","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-105","Basic Electricity - AC/DC",NA
"11","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-106","Basic Tools & Hardware",NA
"12","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-109","Orientation & Pathways to Success, Pt 2",NA
"13","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","COMM-160/161","College Communication 1",NA
"14","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","GNED","General Education Elective",NA
"15","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","2A","2A",NA
"16","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAT-201","Maintenance Records",NA
"17","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAV-202","Piston Engines & Propellers",NA
"18","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAV-203","Advanced AC/DC Theory",NA
"19","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAV-210","CAD Programming",NA
"20","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAV-401","Aerodynamics - Fixed and Rotary Wing",NA
"21","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","GNED","General Education Elective",NA
"22","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","2B","2B",NA
"23","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAV-204","Aircraft Structures and Sheet Metal",NA
"24","Centennial College of Applied Arts and Technology","Aviation Technician – Avionics Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technician-avionics-maintenance/","ATAV-205","Intro to Avionics Systems",NA
