"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","1A","1A",NA
"2","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-101","Theory of Flight",NA
"3","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-102","Aircraft Publications",NA
"4","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-104","Metallurgy & Processes",NA
"5","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-107","Intro to CARs, Human Factors & SMS",NA
"6","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-108","Orientation & Pathways to Success, Pt 1",NA
"7","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-110","Applied Mathematics",NA
"8","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","1B","1B",NA
"9","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-103","AME Standard Practices",NA
"10","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-105","Basic Electricity - AC/DC",NA
"11","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-106","Basic Tools & Hardware",NA
"12","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-109","Orientation & Pathways to Success, Pt 2",NA
"13","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","COMM-160/161","College Communication 1",NA
"14","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","GNED","General Education Elective",NA
"15","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","2A","2A",NA
"16","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-201","Maintenance Records",NA
"17","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-202","Piston Engines & Propellers",NA
"18","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-203","Advanced AC/DC Theory",NA
"19","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","MT-106","CAD I/Blueprint Reading",NA
"20","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","2B","2B",NA
"21","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-204","Aircraft Structures and Sheet Metal",NA
"22","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-205","Intro to Avionics Systems",NA
"23","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-206","ATA Systems 1",NA
"24","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-207","Turbine Engines",NA
"25","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","2C","2C",NA
"26","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-208","Analog Theory",NA
"27","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-209","Radio Theory",NA
"28","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-210","CAD Programming",NA
"29","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","3A","3A",NA
"30","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-301","Electrical Systems Installation",NA
"31","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-302","Logic Gates and Numbering Systems",NA
"32","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","COMM-170/171","College Communication 2",NA
"33","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","GNED","General Education Elective",NA
"34","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","3B","3B",NA
"35","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-310","Non-technical Skills",NA
"36","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-603","Airside Worker Safety and Security",NA
"37","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-303","Avionics Systems Installation",NA
"38","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","4A","4A",NA
"39","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-401","Aerodynamics - Fixed and Rotary Wing",NA
"40","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-402","Hydraulics and Landing Gear",NA
"41","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-403","ATA Systems 2",NA
"42","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-404","Electrical Systems",NA
"43","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","4B","4B",NA
"44","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAC-401","Aircraft Structures 2 and Composites",NA
"45","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAT-401","Aviation Maintenance Planning",NA
"46","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ENGL-250","Report Writing in a Technical Environment",NA
"47","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"48","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","4C","4C",NA
"49","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-405","Navigation Systems",NA
"50","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-406","Digital Application",NA
"51","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","5A","5A",NA
"52","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAC-204","Corrosion, NDI & Approved Parts",NA
"53","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-501","Emergency Systems",NA
"54","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-502","Communication Systems",NA
"55","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","5B","5B",NA
"56","Centennial College of Applied Arts and Technology","Aviation Technology - Avionics Maintenance & Management","https://www.centennialcollege.ca/programs-courses/full-time/aviation-technology-avionics-maintenance-mgmt/","ATAV-503","Pulse Systems",NA
