"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","BUS-100","Introduction to Business",NA
"2","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","ENG-115","The Power of Communications",NA
"3","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","MTH-130","Applied Mathematics",NA
"4","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-110","Introduction to Computer Networks",NA
"5","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-111","Operating Systems",NA
"6","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","SWS-110","Introduction to Programming",NA
"7","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","BUS-150","Organizational Behaviour",NA
"8","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","MTH-116","Statistics",NA
"9","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","MTH-160","Calculus",NA
"10","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-112","Computer Architecture",NA
"11","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-120","Introduction to Switching and Routing",NA
"12","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","SWS-120","Object Oriented Programming",NA
"13","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","BUS-140","Management Principles and Practices",NA
"14","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","GCE-215","Global Citizenship and Equity: World Hunger",NA
"15","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-212","Windows Server Operating System",NA
"16","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-224","Advanced Switching and Routing",NA
"17","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","REA-215","Fundamentals of Research",NA
"18","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","SWS-213","Database Design and Modeling",NA
"19","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-211","Unix/Linux Operating Systems",NA
"20","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-220","Computer and Network Security",NA
"21","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-221","Wireless Communication Systems",NA
"22","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","PHL-215","Ethics for a Plural World",NA
"23","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","SWS-212","Server-Side Scripting",NA
"24","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","WRK-221","Employment Preplacement 1",NA
"25","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","BUS-320","Project Management",NA
"26","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","LIB-SOC","Liberal Studies Elective: Social Science",NA
"27","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-324","Voice Systems and Services",NA
"28","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-326","Wireless Networks",NA
"29","Centennial College of Applied Arts and Technology","Bachelor of Information Technology (Computer and Communication Networks), Honours","https://www.centennialcollege.ca/programs-courses/full-time/bachelor-of-information-technology/","NET-350","WAN Technologies",NA
