"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","BLG-10A","Anatomy and Physiology",NA
"2","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","ELECT A","Liberal Studies Elective Group A",NA
"3","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","FNN-111","Nutrition for Nursing Practice",NA
"4","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","NSE-11A","Theoretical Foundations of Nursing",NA
"5","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","NSE-12A","Nursing Practice I",NA
"6","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","NSE-13A","Assessment of the Healthy Individual",NA
"7","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","PSY-102","Introduction to Psychology I",NA
"8","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","BLG-10B","Anatomy and Physiology",NA
"9","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","NSE-112","Social, Political and Economic Perspectives",NA
"10","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","NSE-11B","Theoretical Foundations of Nursing",NA
"11","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","NSE-12B","Nursing Practice I",NA
"12","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","NSE-13B","Assessment of the Healthy Individual",NA
"13","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","PSY-302","Child Development",NA
"14","Centennial College of Applied Arts and Technology","Bachelor of Science in Nursing (BScN) Collaborative Nursing Degree","https://www.centennialcollege.ca/programs-courses/full-time/nursing-bscn/","ELECT A","Liberal Studies Elective Group A",NA
