"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","BAKE-105","Baking and Pastry Arts Theory I",NA
"2","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","BAKE-111","Baking and Pastry Arts Skills I",NA
"3","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","BAKE-122","Commercial Bakery Operations I",NA
"4","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","COMM-160/COMM-161","College Communications 1",NA
"5","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","COOK-101","Principles of Nutrition",NA
"6","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","HOSP-101","Introduction to Computers (Online)",NA
"8","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"9","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","HOSP-115","Math for Hospitality",NA
"10","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","BAKE-205","Baking and Pastry Arts Theory II",NA
"11","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","BAKE-211","Baking and Pastry Arts Skills II",NA
"12","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","BAKE-222","Commercial Bakery Operations II",NA
"13","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","COMM-170/171","College Communication 2",NA
"14","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","COOK-207","Purchasing for Commercial Kitchen",NA
"15","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","COOK-210","Kitchen Management I",NA
"16","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","COOK-250","Food and Tourism Elective",NA
"17","Centennial College of Applied Arts and Technology","Baking Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/baking-skills-online/","HOSP-320","Principles of Food, Beverage and Labour Cost Control",NA
