"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-105","Baking and Pastry Arts Theory I",NA
"2","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-111","Baking and Pastry Arts Skills I",NA
"3","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-122","Commercial Bakery Operations I",NA
"4","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COMM-160/161","College Communication 1",NA
"5","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COOK-101","Principles of Nutrition",NA
"6","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","HOSP-101","Introduction to Computers (Online)",NA
"8","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"9","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","HOSP-115","Math for Hospitality",NA
"10","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-205","Baking and Pastry Arts Theory II",NA
"11","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-211","Baking and Pastry Arts Skills II",NA
"12","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-222","Commercial Bakery Operations II",NA
"13","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COMM-170/171","College Communication 2",NA
"14","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COOK-201","Purchasing for Commercial Kitchen",NA
"15","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COOK-210","Kitchen Management I",NA
"16","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COOK-250","Food and Tourism Elective",NA
"17","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","HOSP-320","Principles of Food, Beverage and Labour Cost Control",NA
"18","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-305","Baking and Pastry Menu Planning",NA
"19","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-310","Artisan Bread",NA
"20","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-315","Chocolate Confections",NA
"21","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-320","Cake and Fondant Fundamentals",NA
"22","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COOK-307","Food Studies Career Preparation",NA
"23","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COOK-315","Food Entrepreneurship",NA
"24","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"25","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","HOSP-215","Introduction to Hospitality Accounting",NA
"26","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","BAKE-444","Work Integrated Learning: Baking and Pastry",NA
"27","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","COOK-410","Kitchen Management II",NA
"28","Centennial College of Applied Arts and Technology","Baking and Pastry Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/baking-pastry-management/","GNED","General Education Elective",NA
