"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","ABEG-125","Occupational Health and Safety",NA
"2","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BAM-108","Biological Techniques",NA
"3","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-207","Microbiology Project 1",NA
"4","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-208","Food Microbiology",NA
"5","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-218","Food Microbiology Laboratory",NA
"6","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","CH-121","Organic Chemistry",NA
"7","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","CH-207","Analytical Chemistry",NA
"8","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-206","Microbiology Project 2",NA
"10","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-209","Pharmaceutical Microbiology",NA
"11","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-312","Recombinant DNA Technology",NA
"12","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","CH-222","Biochemistry 1",NA
"13","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","ENGL-250","Report Writing in a Technical Environment",NA
"14","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"15","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-302","Microbial Genetics",NA
"16","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-303","Microbiology Project 3",NA
"17","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","CH-302","Biochemistry 2",NA
"18","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","CH-317","Analytical Instrumentation for Biotechnology",NA
"19","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-304","Environmental Microbiology",NA
"20","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-305","Advanced Biotechnology",NA
"21","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-308","Systematic Microbiology",NA
"22","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-321","Professional Practice",NA
"23","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/","BI-322","Ethics (online)",NA
"24","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/",NA,NA,NA
"25","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/",NA,NA,NA
"26","Centennial College of Applied Arts and Technology","Biotechnology - Advanced (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/biotechnology-advanced-fast-track/",NA,NA,NA
