"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","COMM-170/171","College Communication 2",NA
"2","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-701","Acute and Chronic Illness Theory",NA
"3","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-703","Ethics and Professional Practice",NA
"4","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-735","Advanced Communication and Leadership",NA
"5","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","PATH-700","Pathotherapeutics",NA
"6","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-700","Health Assessment",NA
"7","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-702","Acute and Chronic Illness Practice",NA
"8","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NURS-737","Nursing Research",NA
"9","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-706","Family-Centred Nursing Theory",NA
"10","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-731","Mental Health and Crisis Management Theory",NA
"11","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-741","Community Nursing Theory",NA
"12","Centennial College of Applied Arts and Technology","Bridging to University Nursing - Flexible","https://www.centennialcollege.ca/programs-courses/full-time/bridging-to-university-nursing-flexible/","NUPD-743","Mental Health and Community Nursing Practice",NA
