"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","CO-105","Imaging: Photography",NA
"2","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","COMM-170/COMM-171","College Communications 2",NA
"3","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-100","Story Writing for Media 1",NA
"4","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-108","The Language of Film",NA
"5","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-112","Working in Media",NA
"6","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-113","Broadcasting: Then & Now",NA
"7","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-114","Digital Media Production 1",NA
"8","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","GNED","General Education Elective",NA
"9","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"10","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-105","Story Writing for Media 2",NA
"11","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-106","Radio Production",NA
"12","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-107","Camerawork and Lighting",NA
"13","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-110","Editing 1",NA
"14","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-115","Digital Media Production 2",NA
"15","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","COMM-180","College Communications 3",NA
"16","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-203","Documentary and Factual 1",NA
"17","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-207","Filmmaking 1",NA
"18","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-208","TV & Digital Studio 1",NA
"19","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-214","Screenwriting 1",NA
"20","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-217","On-air Presentation 1",NA
"21","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","GNED","General Education Elective",NA
"22","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-209","TV & Digital Studio 2",NA
"23","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-220","Documentary & Factual 2",NA
"24","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-222","Marketing & Promotions",NA
"25","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","Academic Option","Academic Option",NA
"26","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-219","Screenwriting 2",NA
"27","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-230","Advanced Directing",NA
"28","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-231","Acting for Writers and Directors",NA
"29","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-232","Advanced Editing",NA
"30","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-233","Advanced Location Audio Recording",NA
"31","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-314","Career Management & Portfolio",NA
"32","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-316","Advanced Digital Media",NA
"33","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-321","Media Business and Entrepreneurship",NA
"34","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-500","Storyworks",NA
"35","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","Academic Option","Academic Option",NA
"36","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-311","Live TV Production",NA
"37","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-320","Filmmaking 3",NA
"38","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-323","Documentary and Factual 3",NA
"39","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-330","Advanced Radio Production",NA
"40","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-331","Post Production Audio",NA
"41","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-332","Production Design",NA
"42","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-333","Compositing and Colour Correction",NA
"43","Centennial College of Applied Arts and Technology","Broadcasting - Radio, Television, Film & Digital Media","https://www.centennialcollege.ca/programs-courses/full-time/radio-television-film-digital-media/","RT-400","Field Placement",NA
