"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-112","Financial Accounting 1",NA
"2","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","COMM-160/161","College Communication 1",NA
"3","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","COMP-106","Applied Business Software 1",NA
"4","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","GNED","General Education Elective",NA
"5","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","MATH-119","Mathematics of Finance II",NA
"6","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","MKTG-116","Principles of Marketing",NA
"7","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-150","Small Business Software",NA
"8","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-221","Financial Accounting 2",NA
"9","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-257","Accounting Information Systems 1",NA
"10","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","COMM-170/171","College Communication 2",NA
"11","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","COMP-126","Applied Business Software 2",NA
"12","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ECON-205","Principles of Microeconomics",NA
"13","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-226","Taxation 1",NA
"14","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-228","Accounting Microcomputer Applications 1",NA
"15","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-256","Intermediate Financial Accounting 1",NA
"16","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","BUSN-225","Research Methods and Data Analysis 1",NA
"17","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","BUSN-333","Business Culture and Collaborative Practices",NA
"18","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"19","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-222","Management Accounting 1",NA
"20","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ACCT-224","Corporate Finance 1",NA
"21","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","BUSN-331","Business Law",NA
"22","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","ECON-206","Principles of Macroeconomics",NA
"23","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","GNED","General Education Elective",NA
"24","Centennial College of Applied Arts and Technology","Business Accounting","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting/","HRMT-300","Organizational Behaviour",NA
