"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","ACCT-123","Financial Accounting Concepts",NA
"2","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","BUSN-119","Fundamental of Business",NA
"3","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","COMM-160/161","College Communication 1",NA
"4","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","COMP-106","Applied Business Software 1",NA
"5","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"6","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","MKTG-116","Principles of Marketing",NA
"7","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","COMM-170/171","College Communication 2",NA
"8","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","COMP-126","Applied Business Software 2",NA
"9","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","GNED","General Education Elective",NA
"10","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","HRMT-301","Human Resources Management",NA
"11","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","MATH-119","Mathematics of Finance II",NA
"12","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","BUSN-215","Career Planning",NA
"13","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","BUSN-333","Business Culture and Collaborative Practices",NA
"14","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","HRMT-300","Organizational Behaviour",NA
"15","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","MGMT-222","Management Principles",NA
"16","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","OMGT-129","Introduction to Supply Chain and Business Operations",NA
"17","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","ELECT-B Options","ELECT-B Options",NA
"18","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","MKTG-222","Retailing",NA
"19","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","MKTG-229","Digital Marketing",NA
"20","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","ACCT-222","Management Accounting 1",NA
"21","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","BUSN-331","Business Law",NA
"22","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","ECON-205","Principles of Microeconomics",NA
"23","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","ELECT-B","Professional Business Elective",NA
"24","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","MGMT-223","Customer-Centric Strategy",NA
"25","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","OMGT-229","Project Management Principles",NA
"26","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","ELECT-B Options","ELECT-B Options",NA
"27","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","INTL-220","International Business Concepts",NA
"28","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","MKTG-223","Professional Selling",NA
"29","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","ACCT-224","Corporate Finance 1",NA
"30","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","BUSN-225","Research Methods and Data Analysis 1",NA
"31","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","BUSN-228","Leadership Principles and Practice",NA
"32","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","ECON-206","Principles of Macroeconomics",NA
"33","Centennial College of Applied Arts and Technology","Business Administration - Leadership and Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/leadership-management-online/","MGMT-324","Integrated Business Planning",NA
