"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","BUSN-119","Fundamental of Business",NA
"2","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","COMM-160/161","College Communication 1",NA
"3","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","COMP-106","Applied Business Software 1",NA
"4","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","HRMT-301","Human Resources Management",NA
"5","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","MATH-128","Mathematics of Finance I - E",NA
"6","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","MKTG-116","Principles of Marketing",NA
"7","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","COMM-170/171","College Communication 2",NA
"8","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","COMP-126","Applied Business Software 2",NA
"9","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"10","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","MATH-119","Mathematics of Finance II",NA
"11","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","OMGT-129","Introduction to Supply Chain and Business Operations",NA
"12","Centennial College of Applied Arts and Technology","Business Administration - Supply Chain and Operations Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-operations-management/","OMGT-229","Project Management Principles",NA
