"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","ACCT-112","Financial Accounting 1",NA
"2","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","CCP-104","Contact Centre Environment",NA
"3","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","COMM-160/161","College Communication 1",NA
"4","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","COMP-106","Applied Business Software 1",NA
"5","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-230","Canadian Financial Services",NA
"6","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","MATH-119","Mathematics of Finance II",NA
"7","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","ACCT-221","Financial Accounting 2",NA
"8","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","COMM-170/171","College Communication 2",NA
"9","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","COMP-126","Applied Business Software 2",NA
"10","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-110","Canadian Investment Funds",NA
"11","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"12","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","MKTG-116","Principles of Marketing",NA
"13","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","BUSN-313","Careers",NA
"14","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-248","Retirement Consultant Certificate 1",NA
"15","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-308","Conduct and Practices Handbook",NA
"16","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-339","Canadian Securities Course 1",NA
"17","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-343","Marketing Financial Services",NA
"18","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","GNED","General Education Elective",NA
"19","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-340","Introduction to Life Insurance",NA
"20","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-347","Taxation and Financial Planning",NA
"21","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-348","Retirement Consultant Certificate 2",NA
"22","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-349","Canadian Securities Course 2",NA
"23","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-350","Financial Sales and Negotiation",NA
"24","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","GNED","General Education Elective",NA
"25","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","ACCT-224","Corporate Finance 1",NA
"26","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","BUSN-119","Fundamental of Business",NA
"27","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","BUSN-331","Business Law",NA
"28","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","ECON-206","Principles of Macroeconomics",NA
"29","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-307","Risk Management and Estate Planning",NA
"30","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-314","Borrowing and Lending In Canada",NA
"31","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","ACCT-334","Corporate Finance 2",NA
"32","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","BUSN-225","Research Methods and Data Analysis 1",NA
"33","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-322","Concepts in Behavioural Finance",NA
"34","Centennial College of Applied Arts and Technology","Business Administration – Finance (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-administration-finance/","FINA-346","Program Review & Evaluation",NA
