"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","ACCT-123","Financial Accounting Concepts",NA
"2","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","BUSN-119","Fundamental of Business",NA
"3","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","COMM-160/161","College Communication 1",NA
"4","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","COMP-106","Applied Business Software 1",NA
"5","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","HRMT-301","Human Resources Management",NA
"6","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","MATH-128","Mathematics of Finance I - E",NA
"7","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","COMM-170/171","College Communication 2",NA
"8","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","COMP-126","Applied Business Software 2",NA
"9","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","GNED","General Education Elective",NA
"10","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","MATH-119","Mathematics of Finance II",NA
"11","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","MGMT-222","Management Principles",NA
"12","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","MKTG-116","Principles of Marketing",NA
"13","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","ACCT-224","Corporate Finance 1",NA
"14","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","BUSN-333","Business Culture and Collaborative Practices",NA
"15","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","CPAC-101","Payroll Compliance Legislation",NA
"16","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"17","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","HRMT-300","Organizational Behaviour",NA
"18","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","HRMT-306","Employment Law",NA
"19","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","BUSN-225","Research Methods and Data Analysis 1",NA
"20","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","ECON-205","Principles of Microeconomics",NA
"21","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","ELECT-B","Professional Business Elective",NA
"22","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","HRMT-302","Recruitment and Selection",NA
"23","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","HRMT-310","Occupational Health and Safety",NA
"24","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","HRMT-311","Compensation and Benefits",NA
"25","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","HRMT-312","Employee Training and Development",NA
"26","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","Semester 4 ELECT-B Options","Semester 4 ELECT-B Options",NA
"27","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","CPAC-102","Payroll Fundamentals 1",NA
"28","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","BUSN-331","Business Law",NA
"29","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","ECON-206","Principles of Macroeconomics",NA
"30","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","GNED","General Education Elective",NA
"31","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","HRMT-317","Managerial Accounting for HR",NA
"32","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","INTL-220","International Business Concepts",NA
"33","Centennial College of Applied Arts and Technology","Business Administration – Human Resources (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-human-resources/","OMGT-129","Introduction to Supply Chain and Business Operations",NA
