"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-700","Data Acquisition and Management 1",NA
"2","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-701","Analytic Lifecycle Management",NA
"3","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-702","Project Management Skills for Business Analysis",NA
"4","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-703","Confounding and Bias",NA
"5","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-704","Foundations of Python Programming",NA
"6","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-705","Analytic Software Applications",NA
"7","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-706","Applied Analytic Modelling",NA
"8","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-710","Data Acquisition and Management 2",NA
"9","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-711","Quantitative Methods 1",NA
"10","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-712","Operations and Supply Chain Analytics",NA
"11","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-713","Machine Learning and AI",NA
"12","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-714","Digital Marketing Analytics",NA
"13","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-715","Analyst Career Portfolio",NA
"14","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","MGMT-702","Crafting and Executing Strategy",NA
"15","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-720","Analytic Insights",NA
"16","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-721","Quantitative Methods 2",NA
"17","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-722","Financial Analytics",NA
"18","Centennial College of Applied Arts and Technology","Business Analytics and Insights","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics/","BA-723","Business Analytics Capstone",NA
