"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-112","Financial Accounting 1",NA
"2","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","COMM-160/161","College Communication 1",NA
"3","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","COMP-106","Applied Business Software 1",NA
"4","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","GNED","General Education Elective",NA
"5","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"6","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","MKTG-116","Principles of Marketing",NA
"7","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-150","Small Business Software",NA
"8","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-221","Financial Accounting 2",NA
"9","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-257","Accounting Information Systems 1",NA
"10","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","COMM-170/171","College Communication 2",NA
"11","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","COMP-126","Applied Business Software 2",NA
"12","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ECON-205","Principles of Microeconomics",NA
"13","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-226","Taxation 1",NA
"14","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-228","Accounting Microcomputer Applications 1",NA
"15","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-256","Intermediate Financial Accounting 1",NA
"16","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","BUSN-225","Research Methods and Data Analysis 1",NA
"17","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","BUSN-333","Business Culture and Collaborative Practices",NA
"18","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-222","Management Accounting 1",NA
"19","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ACCT-224","Corporate Finance 1",NA
"20","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","BUSN-331","Business Law",NA
"21","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","ECON-206","Principles of Macroeconomics",NA
"22","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","GNED","General Education Elective",NA
"23","Centennial College of Applied Arts and Technology","Business - Accounting (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-accounting-online/","HRMT-300","Organizational Behaviour",NA
