"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","BUSN-119","Fundamental of Business",NA
"2","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","COMM-160/161","College Communication 1",NA
"3","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","COMP-106","Applied Business Software 1",NA
"4","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","HRMT-301","Human Resources Management",NA
"5","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","MATH-128","Mathematics of Finance I - E",NA
"6","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","MKTG-116","Principles of Marketing",NA
"7","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","COMM-170/171","College Communication 2",NA
"8","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","COMP-126","Applied Business Software 2",NA
"9","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"10","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","INTL-220","International Business Concepts",NA
"11","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","MATH-119","Mathematics of Finance II",NA
"12","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","OMGT-129","Introduction to Supply Chain and Business Operations",NA
"13","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","ACCT-123","Financial Accounting Concepts",NA
"14","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","ECON-302","Economics for Business & Management",NA
"15","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","GNED","General Education Elective",NA
"16","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","INTL-221","Customs Services and Compliance",NA
"17","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","INTL-222","Global Logistics",NA
"18","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","INTL-224","International Business Communications and Seminars",NA
"19","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","INTL-234","Corporate Social Responsibility in International Business",NA
"20","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","BUSN-313","Careers",NA
"21","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","GNED","General Education Elective",NA
"22","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","INTL-232","International Trade Research",NA
"23","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","INTL-233","Fundamentals of Freight Forwarding",NA
"24","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","INTL-303","International Financial Institutions and Trade Finance",NA
"25","Centennial College of Applied Arts and Technology","Business - International Business","https://www.centennialcollege.ca/programs-courses/full-time/business-international-business/","MKTG-332","International Marketing",NA
