"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-102","Counselling & Communication Skills",NA
"3","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-104","Child Development",NA
"4","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-112","Foundations in Child and Youth Care",NA
"5","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-113","Child & Adolescent Mental Health 1",NA
"6","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-114","Preparation for Professional Practice",NA
"7","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","GNED","General Education Elective",NA
"8","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-105","Field Practicum 1",NA
"10","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-106","Reflective Practice 1",NA
"11","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-115","Strength-Based Practices",NA
"12","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-116","Child & Adolescent Mental Health 2",NA
"13","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-117","Group Dynamics: Processes & Development",NA
"14","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-118","Adolescent Development",NA
"15","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-201","Counselling Theories and Practice",NA
"16","Centennial College of Applied Arts and Technology","Child and Youth Care","https://www.centennialcollege.ca/programs-courses/full-time/child-youth-care/","CYCP-210","Child & Adolescent Mental Health 3",NA
