"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-701","Intro. to Child Development",NA
"2","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-703","Integrated Media for Children's Entertainment",NA
"3","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-704","The Business of Children's Entertainment 1",NA
"4","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-705","Survey of Children's Entertainment",NA
"5","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-706","Professional Practice",NA
"6","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-708","Writing for Children's Entertainment 1",NA
"7","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-709","Licensing and Merchandising",NA
"8","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-710","Introduction to Video Production",NA
"9","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-702","Develop a Project",NA
"10","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-711","Producing the Project",NA
"11","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-712","Marketing Integrated Media for Children's Entertainment",NA
"12","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-713","The Business of Children's Entertainment 2",NA
"13","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-714","Writing for Children's Entertainment 2",NA
"14","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-716","Media Production 2",NA
"15","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-723","Children’s Books",NA
"16","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-799","Storyworks",NA
"17","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-721","Industry Field Placement",NA
"18","Centennial College of Applied Arts and Technology","Children's Media","https://www.centennialcollege.ca/programs-courses/full-time/childrens-media/","CHLD-728","Advanced Writing for Children's Entertainment",NA
