"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","CO-108","Tools and Processes for Communicators",NA
"2","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","CO-111","Introduction to Media",NA
"3","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","CO-116","Building Communications Portfolio Skills 1",NA
"4","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","CO-118","Multimedia 1",NA
"5","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","COMM-160/161","College Communication 1",NA
"6","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","FNED-205","Exploring Digital Culture Pt 1",NA
"7","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","CO-117","Building Communications Portfolio Skills 2",NA
"8","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","CO-201","Introduction to Media Writing",NA
"9","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","CO-218","Multimedia 2",NA
"10","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","COMM-160/COMM-161","College Communications 1",NA
"11","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","COMM-170/COMM-171","College Communications 2",NA
"12","Centennial College of Applied Arts and Technology","Communications and Media Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/communications-media-fundamentals/","FNED-206","Exploring Digital Culture Pt 2",NA
