"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-112","Theoretical Foundations in CD",NA
"2","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-114","Sustainable Community Development",NA
"3","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-116","Communication Fundamentals",NA
"4","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-118","Fundamental for Success in CDW",NA
"5","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","COMM-160/COMM-161","College Communications 1",NA
"6","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-214","Community Economic Development",NA
"8","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-216","Community Engagement and Participation",NA
"9","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-218","Group Dynamics for CDW",NA
"10","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","COMM-170/COMM-171","College Communications 2",NA
"11","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"12","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-312","Community Development in Action",NA
"13","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-314","Global Perspectives in Community Development",NA
"14","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-316","Community Development Policy",NA
"15","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-320","Placement 1 - GTA",NA
"16","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","GNED","General Education Elective",NA
"17","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-420","Placement 2 - International/Domestic",NA
"18","Centennial College of Applied Arts and Technology","Community Development Work","https://www.centennialcollege.ca/programs-courses/full-time/community-development-work/","CDEV-422","Placement Seminar",NA
