"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","CCSF-101","Foundations in Community & Child Studies",NA
"2","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","CCSF-102","Student Success/Interpersonal Skills",NA
"3","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","CCSF-103","Health and First Aid",NA
"4","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","COMM-143/COMM-142","Foundations 1:  Developing College Communication Skills",NA
"5","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","FNED-193","Introduction to Psychology: Part 1",NA
"6","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","CCSF-121","Foundations in Community and Child Studies Part 2",NA
"7","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","CCSF-122","Student Success/Interpersonal Skills 2",NA
"8","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","CCSF-123","Professional Practice and Ethics",NA
"9","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","COMM-163/COMM-162","Foundations 2:  Building College Communications Skills",NA
"10","Centennial College of Applied Arts and Technology","Community and Child Studies Foundations","https://www.centennialcollege.ca/programs-courses/full-time/community-child-studies-foundations/","FNED-194","Introduction to Psychology: Part 2",NA
