"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-100","Personal Management 1: Preparing for Success",NA
"2","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-101","Introduction to the Adult Criminal Justice System",NA
"3","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-102","Youth Culture and the Law",NA
"4","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-105","Security Skills",NA
"5","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-111","Mental Health and Addictions 1: Introduction",NA
"6","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","COMM-160/COMM-161","College Communications 1",NA
"7","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","GNED","General Education Elective",NA
"8","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-104","Applications of the Criminal Justice System: Youth & Adult",NA
"9","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-107","Ethical Issues in the Criminal Justice System",NA
"10","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-108","Field Practicum Preparation",NA
"11","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-112","Mental Health and Addictions 2: Strategies and Interventions",NA
"12","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-113","Interpersonal Communication Skills and Group Process and Development",NA
"13","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-114","Counselling Skills 1: Best Practices and Case Management",NA
"14","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","COMM-170/COMM-171","College Communications 2",NA
"15","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-206","Building Community Partnerships",NA
"16","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-208","Field Practicum 1",NA
"17","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-214","Counselling Skills 2: Individual, Family & Group Work",NA
"18","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","ENGL-205","Critical Thinking and Literature Review in the Community Justice Services",NA
"19","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","GNED","General Education Elective",NA
"20","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-203","Criminology",NA
"21","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-211","Field Practicum 2",NA
"22","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-212","Profiles",NA
"23","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","CJSP-213","Personal Management 2: Preparing for Employment/Career",NA
"24","Centennial College of Applied Arts and Technology","Community and Justice Services","https://www.centennialcollege.ca/programs-courses/full-time/community-and-justice-services/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
