"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"2","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-101","PC Hardware",NA
"3","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-102","PC Operating Systems",NA
"4","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-104","Technical Writing with MS Office and Visio",NA
"5","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-204","Introduction to Web Design",NA
"6","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","COMM-160/COMM-161","College Communications 1",NA
"7","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","GNED","General Education Elective",NA
"8","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-124","Fundamentals of Computer Networks",NA
"9","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-128","Basic Electrical Safety",NA
"10","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-205","Customer Skills",NA
"11","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-206","Introduction to Unix/Linux",NA
"12","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","CNET-290","CRAM Project",NA
"13","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","COMM-170/COMM-171","College Communications 2",NA
"14","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","EMPS-101","Employment Skills",NA
"15","Centennial College of Applied Arts and Technology","Computer Repair and Maintenance","https://www.centennialcollege.ca/programs-courses/full-time/computer-repair-and-maintenance/","GNED-212","Ethics in Society, Technology and the Environment",NA
