"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","CNET-202","Windows Server Operating System",NA
"2","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","CNET-217","Switching and Routing Essentials",NA
"3","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","CNET-225","Introduction to Telephony",NA
"4","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"5","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","GNED","General Education Elective",NA
"6","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","MATH-269","Statistics for Computer Systems",NA
"7","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"8","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","CNET-221","Network Security",NA
"9","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","CNET-222","Network Services",NA
"10","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","CNET-229","Introduction to Business and ICT",NA
"11","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","CNET-232","Introduction to Programming",NA
"12","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking-fast-track/","CNET-306","Unix/ Linux",NA
