"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-101","PC Hardware",NA
"2","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-102","PC Operating Systems",NA
"3","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-104","Technical Writing with MS Office and Visio",NA
"4","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-204","Introduction to Web Design",NA
"5","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","COMM-160/COMM-161","College Communications 1",NA
"6","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","MATH-149","Mathematics for Computer Systems 1",NA
"8","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-124","Fundamentals of Computer Networks",NA
"9","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-126","Electricity for Computer Systems",NA
"10","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-205","Customer Skills",NA
"11","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-206","Introduction to Unix/Linux",NA
"12","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-224","Data Communications",NA
"13","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","COMM-170/COMM-171","College Communications 2",NA
"14","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","MATH-169","Mathematics for Computer Systems 2",NA
"15","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"16","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-201","Fundamentals of Routing and Switching",NA
"17","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-202","Windows Server Operating System",NA
"18","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-219","The Physical Layer",NA
"19","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-225","Introduction to Telephony",NA
"20","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"21","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","MATH-269","Statistics for Computer Systems",NA
"22","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-221","Network Security",NA
"23","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-222","Network Services",NA
"24","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-229","Introduction to Business and ICT",NA
"25","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-232","Introduction to Programming",NA
"26","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-306","Unix/ Linux",NA
"27","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-311","Routing and Switching",NA
"28","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","GNED","General Education Elective",NA
"29","Centennial College of Applied Arts and Technology","Computer Systems Technology – Networking (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/computer-systems-technology-networking/","CNET-231","WAN Technologies",NA
