"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-700","News Reporting",NA
"2","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-701","Visual Storytelling: Photography and Videography",NA
"3","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-702","Contemporary Issues in Law and Ethics",NA
"4","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-703","Data Management and Presentation",NA
"5","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-706","Mobile and Social Journalism",NA
"6","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-710","Emerging Tools and Technology",NA
"7","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-715","Social Media and Storytelling",NA
"8","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-716","Interactive Journalism - Data, Audiences & Analytics",NA
"9","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-717","Advanced Audio and Video Storytelling",NA
"10","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-799","Storyworks",NA
"11","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-722","Entrepreneurial Reporting",NA
"12","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-723","Journalism-The Business, Branding & Freelancing",NA
"13","Centennial College of Applied Arts and Technology","Contemporary Journalism","https://www.centennialcollege.ca/programs-courses/full-time/contemporary-journalism/","CJRL-730","Field Placement",NA
