"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-101","Principles of Nutrition",NA
"3","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-104","Cook's Desserts",NA
"4","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-105","Theory of Food",NA
"5","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-111","Culinary Skills",NA
"6","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","HOSP-101","Introduction to Computers (Online)",NA
"8","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"9","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","HOSP-115","Math for Hospitality",NA
"10","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COMM-170/171","College Communication 2",NA
"11","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-202","Catering Culinary Operations",NA
"12","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-204","Cuisine and Culture",NA
"13","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-210","Kitchen Management I",NA
"14","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-211","Culinary Skills II",NA
"15","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-222","Restaurant Culinary Operations",NA
"16","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-250","Food and Tourism Elective",NA
"17","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","HOSP-320","Principles of Food, Beverage and Labour Cost Control",NA
"18","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-303","International Cuisine",NA
"19","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-304","Sustainable Food Systems",NA
"20","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-307","Food Studies Career Preparation",NA
"21","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-315","Food Entrepreneurship",NA
"22","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-333","Local and Sustainable Cuisine",NA
"23","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"24","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","HOSP-122","Beverage, Bar and Dining Room",NA
"25","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","HOSP-215","Introduction to Hospitality Accounting",NA
"26","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-410","Kitchen Management II",NA
"27","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","COOK-444","Work Integrated Learning: Culinary",NA
"28","Centennial College of Applied Arts and Technology","Culinary Management","https://www.centennialcollege.ca/programs-courses/full-time/culinary-management/","GNED","General Education Elective",NA
