"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-101","Ballet 1",NA
"3","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-102","Jazz 1",NA
"4","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-103","Contemporary 1",NA
"5","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-104","Commercial Dance 1",NA
"6","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-105","Cultural/World Trends/Indigenous Dance 1",NA
"7","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-108","Strength, Stretch and Technique 1",NA
"8","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","GNED","General Education Elective",NA
"9","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","COMM-170/COMM-171","College Communications 2",NA
"10","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-200","Strength, Stretch and Technique 2",NA
"11","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-201","Ballet 2",NA
"12","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-202","Jazz 2",NA
"13","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-203","Contemporary 2",NA
"14","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-204","Commercial Dance 2",NA
"15","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-205","Dance History & Theory",NA
"16","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-207","Pas de Deux 1",NA
"17","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-208","Vocal and Acting Training",NA
"18","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-106","Choreography & Creative Innovation 1",NA
"19","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-209","Audition & Performance Preparation 1",NA
"20","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-300","Strength, Stretch and Technique 3",NA
"21","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-301","Ballet 3",NA
"22","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-302","Jazz 3",NA
"23","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-303","Contemporary 3",NA
"24","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-304","Commercial Dance 3",NA
"25","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-305","Cultural/World Trends/Indigenous Dance 2",NA
"26","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-308","Acrobatics 1",NA
"27","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"28","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-206","Choreography & Creative Innovation 2",NA
"29","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-306","Pas de Deux 2",NA
"30","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-401","Ballet 4",NA
"31","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-402","Jazz 4",NA
"32","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-403","Contemporary 4",NA
"33","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-404","Commercial Dance 4",NA
"34","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-406","Career Management",NA
"35","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-410","Acrobatics 2",NA
"36","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-411","Special Topics Workshop",NA
"37","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","DANC-500","Storyworks",NA
"38","Centennial College of Applied Arts and Technology","Dance Performance","https://www.centennialcollege.ca/programs-courses/full-time/dance-performance/","GNED","General Education Elective",NA
