"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","CS-102","Interpersonal Skills Development",NA
"3","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-110","Introduction to the Field",NA
"4","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-112","Valued Social Roles",NA
"5","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-115","The Nature of Intellectual Disability",NA
"6","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-121","Health Promotion And Personal Well-Being",NA
"7","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","GNED","General Education Elective",NA
"8","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","COMM-170/171","College Communication 2",NA
"9","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-107","Pharmacology",NA
"10","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-113","Supports for Personal Health Care",NA
"11","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-119","Community, Family and Role",NA
"12","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-120","Introduction to Teaching",NA
"13","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-125","Preparation For Practice",NA
"14","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"15","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-124","Working Effectively in a Small Group",NA
"16","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-206","Professional Writing",NA
"17","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-213","Universal Design",NA
"18","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-217","Field Seminar 1",NA
"19","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-218","Field Placement 1",NA
"20","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-220","Teaching Skills",NA
"21","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-223","Career Preparation",NA
"22","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-224","Research Skills",NA
"23","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-227","Field Seminar 2",NA
"24","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","DSWP-228","Field Placement 2",NA
"25","Centennial College of Applied Arts and Technology","Developmental Services Worker","https://www.centennialcollege.ca/programs-courses/full-time/developmental-services-worker/","GNED","General Education Elective",NA
