"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-101","History of VFX in Film",NA
"3","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-102","Cinematography & The Camera",NA
"4","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-103","Editorial and Video Production",NA
"5","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-104","Concept Design",NA
"6","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-105","Intro 3D",NA
"7","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-106","Intro 2D",NA
"8","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-199","Creativity In Context",NA
"9","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-301","Pre-Production and Previs",NA
"10","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","COMM-170/171","College Communication 2",NA
"11","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-201","VFX Photography and On-set data gathering",NA
"12","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-203","Camera & Object Tracking",NA
"13","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-204","Intro Compositing",NA
"14","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-205","Intro Rendering",NA
"15","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-206","Intro Matte Painting and Set-Extension",NA
"16","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","GNED","General Education Elective",NA
"17","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-304","Advanced Compositing",NA
"18","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-305","Advanced Rendering",NA
"19","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-306","Advanced Matte Painting & Set-Extension",NA
"20","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-307","Intro FX Dynamics",NA
"21","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-402","Career Management",NA
"22","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","GNED","General Education Elective",NA
"23","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"24","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-403","Scripting",NA
"25","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-405","Group Final Project Studio",NA
"26","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-410","Field Placement",NA
"27","Centennial College of Applied Arts and Technology","Digital Visual Effects","https://www.centennialcollege.ca/programs-courses/full-time/digital-visual-effects/","DVFX-500","Storyworks",NA
