"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-114","Drawing Interpretation",NA
"3","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-115","Installation Methods 1",NA
"4","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-116","Canadian Electrical Code 1",NA
"5","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-117","Electrical Theory 1",NA
"6","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","MATH-101","Mathematics 1",NA
"8","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-124","AutoCAD",NA
"9","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-125","Drawings & Installation Methods 2",NA
"10","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-126","Instrumentation 1",NA
"11","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-127","Canadian Electrical Code 2",NA
"12","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-128","Electrical Theory 2",NA
"13","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-129","Electronics 1",NA
"14","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","MATH-102","Mathematics 2",NA
"15","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"16","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","COMM-170/171","College Communication 2",NA
"17","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-123","Electronics 2",NA
"18","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-215","Introduction to Programmable Logic Controllers",NA
"19","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-216","Drawings & Installation Methods 3",NA
"20","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-217","Electrical Theory 3",NA
"21","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"22","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-223","Electronics 3",NA
"23","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-225","Capstone Project",NA
"24","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-226","Electric Power Generation & Distribution",NA
"25","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-227","Instrumentation 2",NA
"26","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","EET-228","Monitoring Systems and Networking",NA
"27","Centennial College of Applied Arts and Technology","Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrical-engineering-technician/","GNED","General Education Elective",NA
