"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-111","Electrical Code 1 & Prints 1",NA
"3","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-112","Electrical Theory 1",NA
"4","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-113","Installation Methods 1",NA
"5","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-114","Electronics 1 and Instrumentation 1",NA
"6","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","GNED","General Education Elective",NA
"8","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","MATH-101","Mathematics 1",NA
"9","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","COOP-621","Employment Preplacement 4",NA
"10","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-121","Electrical Code 2 & Prints 2",NA
"11","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-122","Electrical Theory 2",NA
"12","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-123","Installation Methods 2",NA
"13","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-124","Electronics 2",NA
"14","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-214","Instr 2 & Monitoring Systems",NA
"15","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","MATH-102","Mathematics 2",NA
"16","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","COMM-170/COMM-171","College Communications 2",NA
"17","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-211","Canadian Electrical Code 3",NA
"18","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-212","Electrical Theory 3",NA
"19","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-213","Installation Methods 3",NA
"20","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-215","AutoCAD",NA
"21","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"22","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"23","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-222","Prints 3 (Construction and Maintenance Only)",NA
"24","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-223","Instr 3",NA
"25","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-224","Electronics 3",NA
"26","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-225","Network and Adv Ctrl System",NA
"27","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-226","Design and Development Course",NA
"28","Centennial College of Applied Arts and Technology","Electrician: Construction and Maintenance - Electrical Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electrician-construction-maintenance-electrical-engineering-technician/","ECME-227","Power Generation and Distribution",NA
