"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","MT-120","Machine Shop",NA
"3","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","MT-151","Introduction to AutoCad",NA
"4","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","ROBO-222","Electronic Devices & Digital Electronics",NA
"5","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","ROBO-226","Fluid Power",NA
"6","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","ROBO-237","Robotic Devices",NA
"7","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"8","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","ROBO-223","Engineering Science",NA
"9","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","ROBO-241","Hydraulic Systems 3",NA
"10","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","ROBO-242","PLC/Pneumatic Interfacing",NA
"11","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","ROBO-243","Maintenance and Troubleshooting",NA
"12","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technician – Automation and Robotics (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/automation-robotics-technician-fast-track/","ROBO-247","Robotic Applications",NA
