"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","MATH-170","Technology Mathematics 2",NA
"4","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","PHYS-100","Physics",NA
"5","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-112","Electric Circuits",NA
"6","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-115","Computer Aided Drafting",NA
"7","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","COMM-170/COMM-171","College Communications 2",NA
"8","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"9","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","MATH-180","Technology Mathematics 3",NA
"10","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-121","Hydraulic Systems 1",NA
"11","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-122","Pneumatic Components",NA
"12","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-123","Statics",NA
"13","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-234","Electronic Devices",NA
"14","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"15","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","MATH-231","Differential Calculus and Analytic Geometry",NA
"16","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","MT-120","Machine Shop",NA
"17","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-124","Digital Electronics",NA
"18","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-231","Hydraulic Systems 2",NA
"19","Centennial College of Applied Arts and Technology","Electro-Mechanical Engineering Technology – Automation and Robotics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automation-and-robotics-technology/","ROBO-237","Robotic Devices",NA
