"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-101","Electronics Lab Instrumentation & Techniques",NA
"3","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-102","Digital Electronics",NA
"4","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-103","Electric Circuits",NA
"5","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-104","Introduction to Electronic Systems and Problem Solving",NA
"6","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","MATH-170","Technology Mathematics 2",NA
"7","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","COMM-170/COMM-171","College Communications 2",NA
"8","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-121","Electronic Devices",NA
"9","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-122","Digital Systems",NA
"10","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-123","Electric Circuit Analysis",NA
"11","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-128","C/C++ Programming",NA
"12","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","MATH -180","Technology Math 3",NA
"13","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"14","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-201","Electronic Circuits",NA
"15","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-202","Microcontroller Programming and Interfacing",NA
"16","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-203","Measurement and Instrumentation",NA
"17","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-206","RF Communications",NA
"18","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","GNED","General Education Elective",NA
"19","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"20","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-221","Electronic Applications",NA
"21","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-222","Applications with Microcontrollers",NA
"22","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-223","Industrial Controls",NA
"23","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-224","System Integration",NA
"24","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","ETEC-225","Quality Control and Technician Project",NA
"25","Centennial College of Applied Arts and Technology","Electronics Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technician/","GNED","General Education Elective",NA
