"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-111","Energy, Environment and Society",NA
"3","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","GNED","General Education Elective",NA
"4","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","MATH-140","Technology Mathematics 1",NA
"5","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","PHYS-100","Physics",NA
"6","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ROBO-112","Electric Circuits",NA
"7","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ROBO-115","Computer Aided Drafting",NA
"8","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-121","Fabrication and Installation",NA
"10","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-122","Chemistry Applications and Climate",NA
"11","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"12","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","MATH-170","Technology Mathematics 2",NA
"13","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","MT-121","Applied Statics",NA
"14","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ROBO-234","Electronic Devices",NA
"15","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"16","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-211","Digital & Power Electronics",NA
"17","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-212","Boilers & Auxiliaries",NA
"18","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-213","Renewable Energy System",NA
"19","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","GNED","General Education Elective",NA
"20","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","MATH-180","Technology Mathematics 3",NA
"21","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ROBO-240","Mechanics and Materials",NA
"22","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-221","Fluid Mechanics & Dynamics",NA
"23","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-222","Wind and Solar Energy",NA
"24","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-223","Power Engineering and HVAC",NA
"25","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-224","Design Project",NA
"26","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","ESET-225","Pneumatics/ PLC",NA
"27","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician/","GNED","General Education Elective",NA
