"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ESET-211","Digital & Power Electronics",NA
"3","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ESET-212","Boilers & Auxiliaries",NA
"4","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ESET-213","Renewable Energy System",NA
"5","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","MT-151","Introduction to AutoCad",NA
"6","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ROBO-222","Electronic Devices & Digital Electronics",NA
"7","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ROBO-240","Mechanics and Materials",NA
"8","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ESET-121","Fabrication and Installation",NA
"9","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ESET-221","Fluid Mechanics & Dynamics",NA
"10","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ESET-222","Wind and Solar Energy",NA
"11","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ESET-223","Power Engineering and HVAC",NA
"12","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","ESET-225","Pneumatics/ PLC",NA
"13","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technician-fast-track/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
