"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-111","Energy, Environment and Society",NA
"3","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","GNED","General Education Elective",NA
"4","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","MATH-170","Technology Mathematics 2",NA
"5","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","PHYS-100","Physics",NA
"6","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ROBO-112","Electric Circuits",NA
"7","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ROBO-115","Computer Aided Drafting",NA
"8","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-121","Fabrication and Installation",NA
"10","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-122","Chemistry Applications and Climate",NA
"11","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"12","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","MATH-180","Technology Mathematics 3",NA
"13","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","MT-121","Applied Statics",NA
"14","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ROBO-234","Electronic Devices",NA
"15","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"16","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-211","Digital & Power Electronics",NA
"17","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-212","Boilers & Auxiliaries",NA
"18","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-213","Renewable Energy System",NA
"19","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","GNED","General Education Elective",NA
"20","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","MATH-231","Differential Calculus and Analytic Geometry",NA
"21","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ROBO-240","Mechanics and Materials",NA
"22","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-221","Fluid Mechanics & Dynamics",NA
"23","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-222","Wind and Solar Energy",NA
"24","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-223","Power Engineering and HVAC",NA
"25","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-225","Pneumatics/ PLC",NA
"26","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","GNED","General Education Elective",NA
"27","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","MATH-232","Integral Calculus",NA
"28","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-312","Power Generation 1",NA
"29","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-314","Motion Controls and Network",NA
"30","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-315","Refrigeration and HVAC",NA
"31","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-316","Microcontrollers",NA
"32","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-317","Statistics & Energy Auditing",NA
"33","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","MT-309","Thermodynamics 1",NA
"34","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-322","Power Generation 2",NA
"35","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-323","Distributed Generation and Transmission",NA
"36","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-324","Geothermal Heat Pumps:  Installation and Design",NA
"37","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-325","Building Automation Systems",NA
"38","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-326","Final Project",NA
"39","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/","ESET-328","Energy Storage and Management",NA
"40","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"41","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"42","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"43","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"44","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"45","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"46","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"47","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"48","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"49","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"50","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"51","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"52","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"53","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"54","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"55","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"56","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"57","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"58","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"59","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
"60","Centennial College of Applied Arts and Technology","Energy Systems Engineering Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/energy-systems-engineering-technology/",NA,NA,NA
