"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","ABEG-126","Occupational Health and Safety",NA
"2","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","BI-111","Intro to Biological Systems",NA
"3","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","CH-101","Chemistry 1",NA
"4","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","COMM-160/COMM-161","College Communications 1",NA
"5","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","GNED","General Education Elective",NA
"6","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","MATH-176","Mathematics for Applied Science",NA
"7","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","BI-121","Microbiology",NA
"8","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","BI-122","Microbiology Techniques",NA
"9","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","CH-122","Lab Instrumentation",NA
"10","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","COMM-170/COMM-171","College Communications 2",NA
"11","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","MATH-186","Statistics for Applied Science",NA
"12","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","PC-124","Physics for Environmental",NA
"13","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","BI-230","Ecology",NA
"14","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","CH-121","Organic Chemistry",NA
"15","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"16","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","PW-231","Soils and Groundwater",NA
"17","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","PW-232","Topographical Surveying",NA
"18","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","VS-242","Enviro Legislation & Regulations",NA
"19","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","BI-240","Applied Enviro Microbiology",NA
"20","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","CH-207","Analytical Chemistry",NA
"21","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","CT-121","Computer Aided Drafting 1 - Civil",NA
"22","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","ENGL-250","Report Writing in a Technical Environment",NA
"23","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","GNED","General Education Elective",NA
"24","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","PW-242","Water Quality Control",NA
"25","Centennial College of Applied Arts and Technology","Environmental Technician","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician/","PW-243","Engineering Equip and Processes",NA
