"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","ABEG-125","Occupational Health and Safety",NA
"2","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","BI-230","Ecology",NA
"3","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","CH-121","Organic Chemistry",NA
"4","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"5","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","EMT-109","Environmental Microbiology Techniques",NA
"6","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","PW-231","Soils and Groundwater",NA
"7","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","PW-232","Topographical Surveying",NA
"8","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","VS-242","Enviro Legislation & Regulations",NA
"9","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","BI-240","Applied Enviro Microbiology",NA
"10","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","CH-207","Analytical Chemistry",NA
"11","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","CT-121","Computer Aided Drafting 1 - Civil",NA
"12","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","ENGL-250","Report Writing in a Technical Environment",NA
"13","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"14","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","PW-242","Water Quality Control",NA
"15","Centennial College of Applied Arts and Technology","Environmental Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technician-fast-track/","PW-243","Engineering Equip and Processes",NA
