"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","ABEG-125","Occupational Health and Safety",NA
"2","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","BI-230","Ecology",NA
"3","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","CH-121","Organic Chemistry",NA
"4","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"5","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","EMT-109","Environmental Microbiology Techniques",NA
"6","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","PW-231","Soils and Groundwater",NA
"7","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","PW-232","Topographical Surveying",NA
"8","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","VS-242","Enviro Legislation & Regulations",NA
"9","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","BI-240","Applied Enviro Microbiology",NA
"10","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","CH-207","Analytical Chemistry",NA
"11","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","CT-121","Computer Aided Drafting 1 - Civil",NA
"12","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","ENGL-250","Report Writing in a Technical Environment",NA
"13","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"14","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","PW-242","Water Quality Control",NA
"15","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","PW-243","Engineering Equip and Processes",NA
"16","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","BI-310","Bioregionalism",NA
"17","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","CH-315","Analytical Instrumentation",NA
"18","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","PW-312","Civil Eng. Design & Const. Practices",NA
"19","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","VS-320","Environmental Chemistry",NA
"20","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","VS-353","Enviro Audits, Sampling & Data Mgt",NA
"21","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","AH-360","Applied Hydrology/Spills Mgnt.",NA
"22","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","BI-311","Applied Microbiological Analysis",NA
"23","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","CH-360","Haz. Wastes and Modern Ind Process",NA
"24","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","VS-360","Environmental Project (Industry)",NA
"25","Centennial College of Applied Arts and Technology","Environmental Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology-fast-track/","VS-361","Geographic Information System",NA
