"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","ABEG-126","Occupational Health and Safety",NA
"2","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","BI-111","Intro to Biological Systems",NA
"3","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","CH-101","Chemistry 1",NA
"4","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","COMM-160/COMM-161","College Communications 1",NA
"5","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","GNED","General Education Elective",NA
"6","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","MATH-176","Mathematics for Applied Science",NA
"7","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","BI-121","Microbiology",NA
"8","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","BI-122","Microbiology Techniques",NA
"9","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","CH-122","Lab Instrumentation",NA
"10","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","COMM-170/COMM-171","College Communications 2",NA
"11","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","MATH-186","Statistics for Applied Science",NA
"12","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","PC-124","Physics for Environmental",NA
"13","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","BI-230","Ecology",NA
"14","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","CH-121","Organic Chemistry",NA
"15","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"16","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","PW-231","Soils and Groundwater",NA
"17","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","PW-232","Topographical Surveying",NA
"18","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","VS-242","Enviro Legislation & Regulations",NA
"19","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","BI-240","Applied Enviro Microbiology",NA
"20","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","CH-207","Analytical Chemistry",NA
"21","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","CT-121","Computer Aided Drafting 1 - Civil",NA
"22","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","ENGL-250","Report Writing in a Technical Environment",NA
"23","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","GNED","General Education Elective",NA
"24","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","PW-242","Water Quality Control",NA
"25","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","PW-243","Engineering Equip and Processes",NA
"26","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","BI-310","Bioregionalism",NA
"27","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","CH-315","Analytical Instrumentation",NA
"28","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","PW-312","Civil Eng. Design & Const. Practices",NA
"29","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","VS-320","Environmental Chemistry",NA
"30","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","VS-353","Enviro Audits, Sampling & Data Mgt",NA
"31","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","AH-360","Applied Hydrology/Spills Mgnt.",NA
"32","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","BI-311","Applied Microbiological Analysis",NA
"33","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","CH-360","Haz. Wastes and Modern Ind Process",NA
"34","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","VS-360","Environmental Project (Industry)",NA
"35","Centennial College of Applied Arts and Technology","Environmental Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/environmental-technology/","VS-361","Geographic Information System",NA
