"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-110","Skin Care Theory 1",NA
"3","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-111","Skin Care Practices",NA
"4","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-112","Professional Relationships 1",NA
"5","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-113","Manicures and Pedicures",NA
"6","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-114","Spa Health and Safety",NA
"7","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","GNED","General Education Elective",NA
"8","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-123","Waxing and Hair Removal",NA
"10","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-125","Product Chemistry and Advanced Ingredients",NA
"11","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-126","Esthetic Clinic 1",NA
"12","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-127","Skin Care Theory and Practices 2",NA
"13","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-128","Introduction to Business Practices",NA
"14","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-201","Skin Care Theory and Practice 3",NA
"15","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-202","Spa Body Anatomy and Physiology",NA
"16","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-215","Introduction to Wellness",NA
"17","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-216","Esthetic Clinic 2",NA
"18","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","GNED","General Education Elective",NA
"19","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"20","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-222","Professional Relationships 2",NA
"21","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-223","Makeup",NA
"22","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-224","Spa Business",NA
"23","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-226","Esthetic Clinic 3",NA
"24","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-227","Esthetician Practicum",NA
"25","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-228","Skin Care Theory 4: Advanced Clinical Skin Care",NA
"26","Centennial College of Applied Arts and Technology","Esthetician","https://www.centennialcollege.ca/programs-courses/full-time/esthetician/","ESTH-229","Skin Care Practices 4",NA
