"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-701","Introduction to Event Management",NA
"2","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-702","Networking and Industry Relations",NA
"3","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-703","Event Sales and Marketing",NA
"4","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-704","Event Budgeting",NA
"5","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-705","Volunteer and Team Building",NA
"6","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-706","Sponsorship Development",NA
"7","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-711","Event Programming",NA
"8","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-712","Creativity and Innovation",NA
"9","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-713","Sustainable Events",NA
"10","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-714","Risk and Security Management",NA
"11","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-715","Communications and Media Planning",NA
"12","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-716","Experiential Event Operations",NA
"13","Centennial College of Applied Arts and Technology","Event Management","https://www.centennialcollege.ca/programs-courses/full-time/event-management/","EVNT-717","Site Logistics",NA
