"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-101","Introduction to Events",NA
"3","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","GNED","General Education Elective",NA
"4","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-101","Introduction to Computers (Online)",NA
"5","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"6","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-105","Food Theory",NA
"7","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-106","Presenting and Communicating Effectively",NA
"8","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-115","Math for Hospitality",NA
"9","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","COMM-170/171","College Communication 2",NA
"10","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-201","Special Event Operations I",NA
"11","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-202","Event Selling and Sponsorship",NA
"12","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","GNED","General Education Elective",NA
"13","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-122","Beverage, Bar and Dining Room",NA
"14","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-204","Introduction to Hospitality Sales and Marketing",NA
"15","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-210","Human Resources",NA
"16","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-215","Introduction to Hospitality Accounting",NA
"17","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-301","Special Event Operations II",NA
"18","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-302","Event Marketing and Social Media",NA
"19","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-313","Event Resources and Logistics",NA
"20","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-315","Management Accounting for Events",NA
"21","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-322","Food and Beverage Event Concepts",NA
"22","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-306","Hospitality and Tourism Entrepreneurship",NA
"23","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-307","Hospitality Management Career Preparation",NA
"24","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-314","Risk Management",NA
"25","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","EVNT-444","Work Integrated Learning: Events",NA
"26","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"27","Centennial College of Applied Arts and Technology","Event Planning","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning/","HOSP-400","Career and Leadership Development (Online)",NA
