"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-101","Introduction to Events",NA
"3","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","GNED","General Education Elective",NA
"4","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-101","Introduction to Computers (Online)",NA
"5","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"6","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-105","Food Theory",NA
"7","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-106","Presenting and Communicating Effectively",NA
"8","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-115","Math for Hospitality",NA
"9","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","COMM-170/COMM-171","College Communications 2",NA
"10","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-201","Special Event Operations I",NA
"11","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-202","Event Selling and Sponsorship",NA
"12","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-122","Beverage, Bar and Dining Room",NA
"13","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-204","Introduction to Hospitality Sales and Marketing",NA
"14","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-210","Human Resources",NA
"15","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-215","Introduction to Hospitality Accounting",NA
"16","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-307","Hospitality Management Career Preparation",NA
"17","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-444","Work Integrated Learning: Events",NA
"18","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"19","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-400","Career and Leadership Development (Online)",NA
"20","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-301","Special Event Operations II",NA
"21","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-302","Event Marketing and Social Media",NA
"22","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-313","Event Resources and Logistics",NA
"23","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-315","Management Accounting for Events",NA
"24","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","EVNT-322","Food and Beverage Event Concepts",NA
"25","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","GNED","General Education Elective",NA
"26","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-306","Hospitality and Tourism Entrepreneurship",NA
"27","Centennial College of Applied Arts and Technology","Event Planning (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/special-event-planning-winter/","HOSP-314","Risk Management",NA
