"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","ACCT-701","Accounting for Managerial Decision Making",NA
"2","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-702","Retirement Financial Planning",NA
"3","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-705","Tax Planning for Financial Planners",NA
"4","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-706","Financial Services Sales and Negotiation",NA
"5","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-707","Life License Qualification Program",NA
"6","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-739","CSC Preparation 1*",NA
"7","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-701","Risk Management and Estate Planning",NA
"8","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-703","Corporate Credit Management",NA
"9","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-704","FPSC Approved Capstone Course",NA
"10","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-708","Behavioural Finance",NA
"11","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-709","Ethics, Conduct and Practices",NA
"12","Centennial College of Applied Arts and Technology","Financial Planning","https://www.centennialcollege.ca/programs-courses/full-time/financial-planning/","FINA-749","CSC Preparation 2**",NA
