"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","ACCT-112","Financial Accounting 1",NA
"2","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","CCP-104","Contact Centre Environment",NA
"3","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","COMM-160/161","College Communication 1",NA
"4","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","COMP-106","Applied Business Software 1",NA
"5","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-230","Canadian Financial Services",NA
"6","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","MATH-119","Mathematics of Finance II",NA
"7","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","ACCT-221","Financial Accounting 2",NA
"8","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","COMM-170/171","College Communication 2",NA
"9","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","COMP-126","Applied Business Software 2",NA
"10","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-110","Canadian Investment Funds",NA
"11","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"12","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","MKTG-116","Principles of Marketing",NA
"13","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-248","Retirement Consultant Certificate 1",NA
"14","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-308","Conduct and Practices Handbook",NA
"15","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-339","Canadian Securities Course 1",NA
"16","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-343","Marketing Financial Services",NA
"17","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-350","Financial Sales and Negotiation",NA
"18","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","GNED","General Education Elective",NA
"19","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","BUSN-313","Careers",NA
"20","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-340","Introduction to Life Insurance",NA
"21","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-347","Taxation and Financial Planning",NA
"22","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-348","Retirement Consultant Certificate 2",NA
"23","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","FINA-349","Canadian Securities Course 2",NA
"24","Centennial College of Applied Arts and Technology","Financial Services","https://www.centennialcollege.ca/programs-courses/full-time/financial-services/","GNED","General Education Elective",NA
