"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","ACCT-112","Financial Accounting 1",NA
"2","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","COMM-160/161","College Communication 1",NA
"3","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","COMP-106","Applied Business Software 1",NA
"4","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-230","Canadian Financial Services",NA
"5","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"6","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","MKTG-116","Principles of Marketing",NA
"7","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","ACCT-221","Financial Accounting 2",NA
"8","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","COMM-170/171","College Communication 2",NA
"9","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","COMP-126","Applied Business Software 2",NA
"10","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-110","Canadian Investment Funds",NA
"11","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-248","Retirement Consultant Certificate 1",NA
"12","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-308","Conduct and Practices Handbook",NA
"13","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-339","Canadian Securities Course 1",NA
"14","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-343","Marketing Financial Services",NA
"15","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-350","Financial Sales and Negotiation",NA
"16","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","GNED","General Education Elective",NA
"17","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","BUSN-313","Careers",NA
"18","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-340","Introduction to Life Insurance",NA
"19","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-347","Taxation and Financial Planning",NA
"20","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-348","Retirement Consultant Certificate 2",NA
"21","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","FINA-349","Canadian Securities Course 2",NA
"22","Centennial College of Applied Arts and Technology","Financial Services (Online)","https://www.centennialcollege.ca/programs-courses/full-time/financial-services-online/","GNED","General Education Elective",NA
