"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-101","Figure Drawing",NA
"3","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-102","Drawing & Composition",NA
"4","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-103","Painting Techniques 1",NA
"5","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-104","Sculpture 1: The Human Figure",NA
"6","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-105","History of World Art from the Prehistoric to 17th Century",NA
"7","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-199","Creativity In Context",NA
"8","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS 125","History of World Art from 18th C - Postmodernism",NA
"10","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-121","Figure Drawing II",NA
"11","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-122","Figure Painting I",NA
"12","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-123","Image Development 1",NA
"13","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-124","Sculpture II: Non Figurative Explorations",NA
"14","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-126","Digital Promotion",NA
"15","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"16","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-201","Figure Drawing III",NA
"17","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-202","Painting Explorations I",NA
"18","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-203","Image Development 2",NA
"19","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-222","Digital Explorations",NA
"20","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-224","Contemporary Issues",NA
"21","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-225","Professional Practice",NA
"22","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","GNED","General Education Elective",NA
"23","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-204","Exhibition Management",NA
"24","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-221","Figure Drawing IV",NA
"25","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-223","Creative Thesis",NA
"26","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-226","Story and Image: Narrative Drawing",NA
"27","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","FAS-500","Storyworks",NA
"28","Centennial College of Applied Arts and Technology","Fine Arts Studio","https://www.centennialcollege.ca/programs-courses/full-time/fine-arts-studio/","GNED","General Education Elective",NA
