"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-700","Introduction to Food Media",NA
"2","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-702","Recipe Research, Development and Writing",NA
"3","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-703","Introduction to Digital Media",NA
"4","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-705","Food Writing",NA
"5","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-715","Food Media Marketing and Promotion",NA
"6","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-717","Production and Editing",NA
"7","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-720","Food Media Concept Production I",NA
"8","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-735","Exploration of Foodways",NA
"9","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-701","Social Media of Food",NA
"10","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-704","Food Styling and Photography",NA
"11","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-712","Advertising Negotiation and Sales",NA
"12","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-713","Food Freelance Entrepreneurship",NA
"13","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-714","Media Training",NA
"14","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-716","Entertainment and Media Law",NA
"15","Centennial College of Applied Arts and Technology","Food Media","https://www.centennialcollege.ca/programs-courses/full-time/food-media/","FOOD-721","Food Media Concept Production II",NA
