"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","ABEG-125","Occupational Health and Safety",NA
"2","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","BI-208","Food Microbiology",NA
"3","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","BI-218","Food Microbiology Laboratory",NA
"4","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","CH-121","Organic Chemistry",NA
"5","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"6","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-201","Introduction to Food Nutrition",NA
"7","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-211","Introduction to Food Science",NA
"8","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","CH-222","Biochemistry 1",NA
"9","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","ENGL-250","Report Writing in a Technical Environment",NA
"10","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-221","Food Science Project I",NA
"11","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-222","Food Processing and Technology I",NA
"12","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-223","Quality Assurance I",NA
"13","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-224","Food Chemistry",NA
"14","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-311","Food Processing & Technology II",NA
"15","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-313","Food Biotechnology",NA
"16","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-314","Food Analysis",NA
"17","Centennial College of Applied Arts and Technology","Food Science Technology (Fast Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/food-science-technology-fast-track/","FST-321","Food Science Project II",NA
