"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-705","Food Writing",NA
"2","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-706","Wine, Beer and Spirits",NA
"3","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-707","Gastronomy and Taste of Place I",NA
"4","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-730","Introduction to Food Tourism",NA
"5","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-731","Hospitality Marketing and Business Development",NA
"6","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-734","Tourism Destinations",NA
"7","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-735","Exploration of Foodways",NA
"8","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-736","Food Distribution and Travel Trade",NA
"9","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-701","Social Media of Food",NA
"10","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-708","Gastronomy and Taste of Place II",NA
"11","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-713","Food Freelance Entrepreneurship",NA
"12","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-732","Social Leadership and Business Development",NA
"13","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-737","Global Tourism Development and Social Justice",NA
"14","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-740","Introduction to Event Management",NA
"15","Centennial College of Applied Arts and Technology","Food Tourism","https://www.centennialcollege.ca/programs-courses/full-time/food-tourism/","FOOD-742","Sponsorship Development",NA
