"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","COOK-105","Theory of Food",NA
"3","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","COOK-111","Culinary Skills",NA
"4","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","GNED","General Education Elective",NA
"5","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"6","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-111","Introduction to Hospitality Operations",NA
"7","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-115","Math for Hospitality",NA
"8","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-122","Beverage, Bar and Dining Room",NA
"9","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","COMM-170/171","College Communication 2",NA
"10","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-101","Introduction to Computers (Online)",NA
"11","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-204","Introduction to Hospitality Sales and Marketing",NA
"12","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-210","Human Resources",NA
"13","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-215","Introduction to Hospitality Accounting",NA
"14","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-220","Principles of Hospitality Management",NA
"15","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-222","Restaurant Operations",NA
"16","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-307","Hospitality Management Career Preparation",NA
"17","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","FBMP-444","Work Integrated Learning: Food and Beverage",NA
"18","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"19","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-400","Career and Leadership Development (Online)",NA
"20","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","COOK-207","Purchasing for Commercial Kitchen",NA
"21","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","FBMP-202","Menu Management and Design",NA
"22","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","FBMP-204","Advanced Beverage Management",NA
"23","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","GNED","General Education Elective",NA
"24","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-314","Risk Management",NA
"25","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-320","Principles of Food, Beverage and Labour Cost Control",NA
"26","Centennial College of Applied Arts and Technology","Food and Beverage Management (Winter)","https://www.centennialcollege.ca/programs-courses/full-time/food-beverage-management-winter/","HOSP-322","Special Event Operations",NA
