"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-100","Game Theory 1",NA
"3","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-101","Game Math",NA
"4","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-102","Audio Foundations",NA
"5","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-103","2D Design Principles",NA
"6","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-105","Digital Graphics Production",NA
"7","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-106","Development Concepts",NA
"8","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-199","Creativity in Context",NA
"9","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","COMM-170/COMM-171","College Communications 2",NA
"10","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-200","Game Theory 2",NA
"11","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-201","Project Management for Games",NA
"12","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-202","Game Physics",NA
"13","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-203","2D Animation",NA
"14","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-204","History of Computer Game Design: Technology & Culture",NA
"15","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-205","Game Development",NA
"16","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"17","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-300","Game Theory 3",NA
"18","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-301","Game Industry",NA
"19","Centennial College of Applied Arts and Technology","Game – Development","https://www.centennialcollege.ca/programs-courses/full-time/game-development/","GDDV-302","Game Engines 1",NA
