"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-100","Programming I",NA
"3","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-213","Web Interface Design",NA
"4","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-391","Introduction to Game and Simulation",NA
"5","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","GNED","General Education Elective",NA
"6","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","MATH-175","Functions and Number Systems",NA
"7","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-122","Introduction to Database Concepts",NA
"8","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-123","Programming 2",NA
"9","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-125","Client-Side Web Development",NA
"10","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-225","Software Engineering Methodologies 1",NA
"11","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-253","Assets for Game Developers",NA
"12","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-301","Unix/Linux Operating Systems",NA
"13","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-228","Java Programming",NA
"14","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-229","Web Application Development",NA
"15","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-246","Object Oriented Software Engineering",NA
"16","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-305","Game Programming 1",NA
"17","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"18","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","MATH-185","Discrete Mathematics",NA
"19","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-212","Programming 3",NA
"20","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-254","Data Structures and Algorithms",NA
"21","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-311","Software Testing and Quality Assurance",NA
"22","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-397","Web Game Programming",NA
"23","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","ENGL-253","Advanced Business Communications",NA
"24","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","MATH-210","Linear Algebra and Statistics",NA
"25","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","CNET-124","Fundamentals of Computer Networks",NA
"26","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","CNET-307","IT Project Management",NA
"27","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-231","Software Development Project I",NA
"28","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-304","Mobile Applications Development",NA
"29","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-394","Practical Game Design",NA
"30","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-396","Game Programming 2",NA
"31","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-256","Special Topics in Interactive Gaming",NA
"32","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-308","Emerging Technologies",NA
"33","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-313","Software Development Project 2",NA
"34","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-392","Advanced Graphics",NA
"35","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","COMP-395","Simulation Design",NA
"36","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","EMPS-102","Employment Skills 2",NA
"37","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/","GNED","General Education Elective",NA
"38","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"39","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"40","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"41","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"42","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"43","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"44","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"45","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"46","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"47","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"48","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"49","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"50","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"51","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"52","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"53","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"54","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
"55","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming/",NA,NA,NA
