"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-228","Java Programming",NA
"3","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-229","Web Application Development",NA
"4","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-246","Object Oriented Software Engineering",NA
"5","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-253","Assets for Game Developers",NA
"6","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-391","Introduction to Game and Simulation",NA
"7","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"8","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-212","Programming 3",NA
"9","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-254","Data Structures and Algorithms",NA
"10","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-305","Game Programming 1",NA
"11","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-311","Software Testing and Quality Assurance",NA
"12","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-397","Web Game Programming",NA
"13","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","MATH-210","Linear Algebra and Statistics",NA
"14","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","CNET-307","IT Project Management",NA
"15","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-231","Software Development Project I",NA
"16","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-304","Mobile Applications Development",NA
"17","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-394","Practical Game Design",NA
"18","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-396","Game Programming 2",NA
"19","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","ENGL-253","Advanced Business Communications",NA
"20","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","GNED","General Education Elective",NA
"21","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-256","Special Topics in Interactive Gaming",NA
"22","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-308","Emerging Technologies",NA
"23","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-313","Software Development Project 2",NA
"24","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-392","Advanced Graphics",NA
"25","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","COMP-395","Simulation Design",NA
"26","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/","EMPS-102","Employment Skills 2",NA
"27","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"28","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"29","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"30","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"31","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"32","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"33","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"34","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"35","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"36","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"37","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"38","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
"39","Centennial College of Applied Arts and Technology","Game – Programming (Optional Co-op) (Fast Track)","https://www.centennialcollege.ca/programs-courses/full-time/game-programming-fast-track/",NA,NA,NA
