"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","ACCT-701","Accounting for Managerial Decision Making",NA
"2","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","BUSN-732","Business Communications 1",NA
"3","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","ECON-701","Economic Analysis for Managers",NA
"4","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-711","Innovation, Entrepreneurship, and Economic Development",NA
"5","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","MGMT-701","Information Systems for Business Management",NA
"6","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","OMGT-701","Operations Management for Products and Services",NA
"7","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","ACCT-702","Financial Management",NA
"8","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","BUSN-702","Coop/Employment Preparedness",NA
"9","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","BUSN-733","Business Culture and Craft",NA
"10","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","HRPD-701","Human Resources Management in Canada",NA
"11","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-704","Global Logistics",NA
"12","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-725","Research Methods for Trade and Development",NA
"13","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","MKTG-716","Marketing",NA
"14","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","HRPD-702","Contemporary Organizational Behaviour",NA
"15","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-702","International Banking  and Finance",NA
"16","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-703","Geopolitics of Trade and Development",NA
"17","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-729","Principles of Freight Forwarding",NA
"18","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","MGMT-703","Ethics and Stakeholder Management",NA
"19","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","MKTG-732","International Marketing",NA
"20","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","PMGT-701","Fundamentals of Project Management",NA
"21","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-705","International Business Law",NA
"22","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-706","Global Business Strategy",NA
"23","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-710","Corporate Social Responsibility and International Development",NA
"24","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-727","International Sales and Negotiation",NA
"25","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-728","Developing an International Business Plan",NA
"26","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","INTL-730","Professional Networking in Global Business",NA
"27","Centennial College of Applied Arts and Technology","Global Business Management","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management/","MGMT-704","Management and Leadership",NA
