"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","ACCT-701","Accounting for Managerial Decision Making",NA
"2","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","BUSN-732","Business Communications 1",NA
"3","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","HRPD-701","Human Resources Management in Canada",NA
"4","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-711","Innovation, Entrepreneurship, and Economic Development",NA
"5","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-725","Research Methods for Trade and Development",NA
"6","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","MKTG-716","Marketing",NA
"7","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","ACCT-702","Financial Management",NA
"8","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","BUSN-702","Coop/Employment Preparedness",NA
"9","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","BUSN-733","Business Culture and Craft",NA
"10","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-704","Global Logistics",NA
"11","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","HRPD-702","Contemporary Organizational Behaviour",NA
"12","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-702","International Banking  and Finance",NA
"13","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-703","Geopolitics of Trade and Development",NA
"14","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-729","Principles of Freight Forwarding",NA
"15","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","MGMT-703","Ethics and Stakeholder Management",NA
"16","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","MKTG-732","International Marketing",NA
"17","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","PMGT-701","Fundamentals of Project Management",NA
"18","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-705","International Business Law",NA
"19","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-706","Global Business Strategy",NA
"20","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-710","Corporate Social Responsibility and International Development",NA
"21","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-727","International Sales and Negotiation",NA
"22","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-728","Developing an International Business Plan",NA
"23","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","INTL-730","Professional Networking in Global Business",NA
"24","Centennial College of Applied Arts and Technology","Global Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/global-business-management-online/","MGMT-704","Management and Leadership",NA
