"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-101","Design Process - Digital Imaging",NA
"3","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-102","Drawing in Graphic Communication",NA
"4","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-103","Two-Dimensional Design and Typography",NA
"5","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-104","Photography and Imaging",NA
"6","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-105","Graphic Design History and Theory",NA
"7","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-199","Creativity in Context",NA
"8","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-121","Design Process Intermediate",NA
"9","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-122","Intro to Advertising and Copywriting",NA
"10","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-123","Editorial Design",NA
"11","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-126","Two-Dimensional Design and Typography 2",NA
"12","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-130","Print Production",NA
"13","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-131","Design Process - Digital Illustration",NA
"14","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-124","Brand Visualization",NA
"15","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-201","Design Process Advanced",NA
"16","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-202","Publication Design",NA
"17","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-205","Web Design 1",NA
"18","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GNED","General Education Elective",NA
"19","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"20","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","COMM-180","College Communications 3",NA
"21","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GDM-221","Illustration Workshop",NA
"22","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-125","Package Design",NA
"23","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-222","Web Design 2",NA
"24","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-226","Interactive Design for Mobile Platforms",NA
"25","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GNED","General Education Elective",NA
"26","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-223","Motion Graphics",NA
"27","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-224","Professional Practice and Self Employment",NA
"28","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-225","Portfolio Workshop",NA
"29","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-300","Infographics and Data Visualization",NA
"30","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-304","Development for Designers",NA
"31","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-500","Storyworks",NA
"32","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-302","Field Placement",NA
"33","Centennial College of Applied Arts and Technology","Graphic Design","https://www.centennialcollege.ca/programs-courses/full-time/graphic-design/","GMD-310","Design Thesis Workshop",NA
