"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-100","Programming I",NA
"3","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-120","Software Engineering Fundamentals",NA
"4","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-213","Web Interface Design",NA
"5","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","GNED","General Education Elective",NA
"6","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","MATH-175","Functions and Number Systems",NA
"7","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-122","Introduction to Database Concepts",NA
"8","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-123","Programming 2",NA
"9","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-125","Client-Side Web Development",NA
"10","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-225","Software Engineering Methodologies 1",NA
"11","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-301","Unix/Linux Operating Systems",NA
"12","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-380","Structure of HCIS",NA
"13","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-214","Advanced Database Concepts",NA
"14","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-229","Web Application Development",NA
"15","Centennial College of Applied Arts and Technology","Health Informatics Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/health-informatics-technology/","COMP-246","Object Oriented Software Engineering",NA
